Ticker,Market Cap,PE Ratio (TTM),PE Ratio (Current),Dividend Yield,Beta,Payout Ratio,Return on Equity (ROE),Retention Ratio,EPS Growth (ROE x Retention),Sector
EFX,21973401600,33.74624,33.462406015037594,1.16,1.532,0.35529998,0.13757,0.6447000199999999,0.08869138175139998,Industrials
EQIX,94070251520,69.78207,69.90962099125363,2.0,1.031,1.3634,0.09722,-0.36339999999999995,-0.035329747999999994,Real Estate
EQR,23102842880,20.107508,19.788395904436857,4.85,0.735,0.9435,0.100200005,0.056499999999999995,0.005661300282499999,Real Estate
ERIE,12767617024,22.819626,22.464485981308414,2.43,0.411,0.5199,0.26194,0.48009999999999997,0.125757394,Financials
ESS,16975241216,23.607693,23.095192307692308,4.29,0.722,0.9885,0.12235,0.011499999999999955,0.0014070249999999945,Real Estate
EL,32323928064,,,1.63,1.112,4.7143,-0.04341,-3.7142999999999997,0.16123776299999998,Consumer Staples
EG,13159919616,8.619577,8.36031746031746,2.53,0.326,0.2116,0.10847,0.7884,0.08551774799999999,Financials
EVRG,18369560576,21.79508,21.502732240437158,3.53,0.604,0.737,0.08569,0.263,0.022536470000000003,Utilities
ES,25503729664,14.894736,14.620614035087721,4.72,0.753,0.66010004,0.10777,0.33989996,0.036631018689200004,Utilities
EXC,48201781248,17.25641,17.01098901098901,3.62,0.515,0.5861,0.09936,0.41390000000000005,0.04112510400000001,Utilities
EXE,25874063360,14.217965,14.177014531043591,2.97,0.473,0.42139998,0.100659996,0.57860002,0.05824187569879992,Energy
EXPE,28860639232,24.009172,23.973496432212027,0.71,1.41,0.16309999,0.48672,0.83690001,0.4073359728672,Consumer Discretionary
EXPD,19128807424,23.947987,24.555369127516776,1.05,1.107,0.2588,0.35431,0.7412000000000001,0.26261457200000005,Industrials
EXR,29430112256,28.934662,28.37908496732026,4.97,1.242,1.4117999,0.07008,-0.4117999000000001,-0.028858936992000008,Real Estate
XOM,670786453504,23.991804,23.795827123695975,2.58,0.348,0.597,0.110810004,0.403,0.044656431612,Energy
FFIV,16308192256,23.763245,23.533112582781456,0.0,0.994,0.0,0.20844,1.0,0.20844,Information Technology
FDS,7843218944,13.333334,13.31234096692112,2.1,0.751,0.2761,0.28831,0.7239,0.20870760900000002,Financials
FICO,25978583040,40.470066,41.67110125646711,0.0,1.277,0.0,,1.0,,Information Technology
FAST,51410669568,41.073395,40.146788990825684,2.06,0.862,0.8028,0.33291,0.19720000000000004,0.06564985200000001,Industrials
FRT,9122362368,22.455128,22.040598290598293,4.35,1.011,0.953,0.12235,0.04700000000000004,0.005750450000000005,Real Estate
FDX,84929806336,19.89718,19.836926478717526,1.62,1.281,0.3132,0.15869,0.6868000000000001,0.10898829200000001,Industrials
FIS,26006464512,68.79452,68.20547945205479,3.29,0.909,2.1917999,0.026010001,-1.1917999,-0.030998716590799898,Financials
FITB,40985804800,12.821529,12.51841359773371,3.62,0.967,0.4363,0.121929996,0.5637,0.06873193874519999,Financials
FSLR,20339189760,13.338142,13.569317382125263,0.0,1.648,0.0,0.1745,1.0,0.1745,Information Technology
FE,28211791872,27.735794,27.579545454545453,3.83,0.601,1.0,0.09195,0.0,0.0,Utilities
FISV,30829670400,9.041009,9.001577287066246,0.0,,0.0,,1.0,,Financials
F,47375020032,,,5.21,1.665,0.641,-0.20193,0.359,-0.07249287,Consumer Discretionary
FTNT,61135310848,33.971073,33.63636363636364,0.0,1.04,0.0,1.3571601,1.0,,Information Technology
FTV,17741787136,35.132076,34.72955974842767,0.47,0.998,0.1761,0.06396,0.8239,0.052696644,Industrials
FOXA,24353925120,13.729016,13.865707434052759,0.97,0.537,0.1319,0.16823,0.8681,0.14604046299999998,Communication Services
FOX,24150353920,12.405275,12.513189448441247,1.07,0.537,0.1319,0.16823,0.8681,0.14604046299999998,Communication Services
BEN,12518590464,22.231482,21.72222222222222,5.63,1.461,1.1944001,0.04464,-0.19440009999999996,-0.008678020463999998,Financials
FCX,78306795520,35.84579,34.26973684210527,1.15,1.438,0.39470002,0.13946,0.6052999800000001,0.0844151352108,Materials
GRMN,45806587904,27.67209,27.018604651162793,1.81,0.949,0.4016,0.19783,0.5984,0.11838147200000002,Consumer Discretionary
IT,11635773440,16.729015,16.72642487046632,0.0,1.083,0.0,0.86861,1.0,0.86861,Information Technology
GE,310727049216,36.54838,35.5818858560794,0.66,1.369,0.17889999,0.44692,0.82110001,0.36696601646919996,Industrials
GEHC,32706877440,15.753845,15.30769230769231,0.2,1.181,0.0308,0.22378,0.9692,0.216887576,Health Care
